Date,Value,Anomaly
189501,33.3,-3.7
189601,33.3,-3.7
189701,34.1,-2.9
189801,38.6,1.6
189901,35.0,-2.0
190001,37.1,0.1
190101,36.4,-0.6
190201,34.7,-2.3
190301,34.9,-2.1
190401,28.2,-8.8
190501,32.1,-4.9
190601,40.7,3.7
190701,38.9,1.9
190801,36.7,-0.3
190901,38.7,1.7
191001,35.1,-1.9
191101,39.7,2.7
191201,28.3,-8.7
191301,45.9,8.9
191401,35.9,-1.1
191501,37.9,0.9
191601,41.3,4.3
191701,37.4,0.4
191801,25.5,-11.5
191901,39.6,2.6
192001,28.6,-8.4
192101,38.6,1.6
192201,32.2,-4.8
192301,34.0,-3.0
192401,38.2,1.2
192501,32.6,-4.4
192601,36.0,-1.0
192701,35.6,-1.4
192801,38.8,1.8
192901,36.6,-0.4
193001,37.4,0.4
193101,37.0,0.0
193201,46.4,9.4
193301,44.5,7.5
193401,38.6,1.6
193501,33.9,-3.1
193601,33.1,-3.9
193701,44.5,7.5
193801,36.1,-0.9
193901,35.6,-1.4
194001,28.8,-8.2
194101,33.4,-3.6
194201,35.3,-1.7
194301,35.0,-2.0
194401,37.8,0.8
194501,30.3,-6.7
194601,39.0,2.0
194701,41.9,4.9
194801,29.0,-8.0
194901,42.4,5.4
195001,46.9,9.9
195101,41.2,4.2
195201,41.2,4.2
195301,41.2,4.2
195401,35.9,-1.1
195501,34.5,-2.5
195601,35.5,-1.5
195701,33.0,-4.0
195801,35.7,-1.3
195901,36.3,-0.7
196001,37.1,0.1
196101,31.8,-5.2
196201,37.8,0.8
196301,34.5,-2.5
196401,40.0,3.0
196501,33.8,-3.2
196601,36.6,-0.4
196701,41.1,4.1
196801,31.2,-5.8
196901,35.3,-1.7
197001,29.5,-7.5
197101,31.4,-5.6
197201,40.4,3.4
197301,40.5,3.5
197401,39.7,2.7
197501,41.7,4.7
197601,32.5,-4.5
197701,26.1,-10.9
197801,32.2,-4.8
197901,38.6,1.6
198001,37.3,0.3
198101,30.6,-6.4
198201,30.9,-6.1
198301,38.0,1.0
198401,33.5,-3.5
198501,33.0,-4.0
198601,39.2,2.2
198701,35.9,-1.1
198801,34.1,-2.9
198901,42.4,5.4
199001,45.9,8.9
199101,39.6,2.6
199201,40.9,3.9
199301,40.9,3.9
199401,31.6,-5.4
199501,42.1,5.1
199601,37.0,0.0
199701,39.2,2.2
199801,45.8,8.8
199901,40.8,3.8
200001,37.8,0.8
200101,38.8,1.8
200201,45.4,8.4
200301,32.9,-4.1
200401,31.0,-6.0
200501,37.4,0.4
200601,47.6,10.6
200701,43.6,6.6
200801,42.4,5.4
200901,33.4,-3.6
201001,38.1,1.1
201101,34.8,-2.2
201201,44.2,7.2
201301,40.8,3.8
201401,35.5,-1.5
201501,36.1,-0.9
201601,40.8,3.8
201701,42.8,5.8
201801,38.7,1.7
